Application mode,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
12,0,0,1,0,0,27,5,5,10.6,5,5,11,1
1,1,0,1,0,0,18,7,7,13.0444444444444,8,8,13.595,3
4,0,0,1,0,0,39,6,0,0,6,0,0,1
12,1,0,1,0,0,27,6,5,13,11,10,12.9,1
8,1,0,1,0,0,18,8,8,14.935,8,8,14.935,3
1,1,0,1,0,0,18,0,0,0,0,0,0,2
1,0,0,1,0,0,18,7,6,13.1333333333333,8,7,12.2214285714285,3
15,0,0,1,0,1,21,6,6,12,6,6,12,3
8,1,0,1,1,1,19,0,0,0,0,0,0,2
8,1,0,1,1,0,19,6,5,11.4,6,1,10,2
14,0,0,1,1,0,24,6,0,0,6,0,0,2
13,1,0,1,1,0,29,7,5,11.9,8,5,11,1
1,1,0,1,1,1,19,0,0,0,0,0,0,3
15,1,0,1,1,0,23,6,6,12.5714285714285,6,6,12.4285714285714,3
1,0,1,1,1,0,19,5,5,11.2,5,4,10.75,1
12,0,0,1,1,0,26,6,6,12,6,5,10.8,2
8,0,0,1,1,0,18,5,0,0,5,0,0,2
8,0,0,1,1,0,24,7,7,11.975,8,8,13.75,3
1,1,0,1,1,0,19,0,0,0,0,0,0,1
8,1,0,1,1,0,18,6,3,11.6666666666666,6,1,12,1
1,1,0,1,1,0,18,6,6,12.3333333333333,6,3,12.3333333333333,3
8,1,1,1,1,0,18,5,3,10.3333333333333,5,3,10.8571428571428,1
9,1,0,1,1,1,21,6,4,10.5,6,1,11,1
8,1,1,1,1,1,19,6,6,13.6666666666666,6,6,13.3333333333333,3
8,0,0,1,1,1,22,7,7,14.8428571428571,8,8,15.0555555555555,3
12,0,0,1,1,0,33,6,6,12,6,6,11.6666666666666,3
1,1,0,1,1,0,20,6,5,12.2,6,5,12.2,1
12,1,0,1,1,0,35,1,0,0,5,0,0,1
12,0,1,1,1,0,24,12,6,12.1666666666666,12,10,13.3,1
8,0,0,1,1,0,18,5,5,12,5,3,11.3333333333333,2
12,1,0,1,0,0,33,6,6,11,6,5,11,3
13,1,0,1,0,1,22,8,7,13.08,8,7,13.08,3
12,0,0,1,0,1,25,5,4,10.5,5,5,11.6,3
8,1,0,1,1,0,20,6,6,10.6666666666666,6,5,11.2,3
1,1,0,1,1,0,23,5,4,14,5,5,13.8,2
14,1,1,1,1,0,18,5,2,10,5,0,0,2
12,0,0,1,1,0,24,7,0,0,7,0,0,1
8,1,0,0,0,0,21,6,6,14,6,6,13.5,3
6,0,0,1,0,0,26,6,2,12,6,0,0,1
12,0,0,1,0,0,39,6,3,12.6666666666666,6,0,0,1
12,0,0,1,0,0,44,8,8,11.875,6,6,12.3333333333333,3
6,1,0,1,1,0,19,5,5,14,5,3,13.25,2
1,1,0,1,0,0,18,6,6,13.6666666666666,6,6,13.3333333333333,3
1,1,0,1,0,1,18,7,7,13.75,8,8,14.4777777777777,3
1,1,0,1,0,0,19,5,5,14.2,5,5,13.8,2
1,1,1,0,0,0,19,7,4,11.96,7,0,0,1
17,0,0,1,0,0,21,10,8,12.875,9,5,13.4,1
1,1,0,1,0,0,20,0,0,0,0,0,0,3
12,1,0,1,0,0,36,6,0,0,6,0,0,1
12,0,0,1,0,0,43,18,18,14.6315789473684,13,13,14.2307692307692,3
9,1,0,1,0,0,19,6,0,0,6,0,0,1
16,0,1,1,0,0,20,10,10,13,11,11,12.2727272727272,3
1,1,0,1,0,0,19,6,0,0,6,0,0,1
1,1,0,1,0,0,20,6,4,14.2,6,4,13.25,1
1,1,0,1,0,0,20,7,6,13.2666666666666,7,5,12.3,1
8,1,0,1,0,0,20,7,6,11.6666666666666,7,3,13,2
1,1,0,1,0,0,18,6,6,13.8571428571428,6,6,15,3
8,1,0,1,0,1,18,5,3,13,5,3,11,2
1,1,0,1,0,0,19,5,5,13.4,5,5,12.8,3
1,1,0,1,0,0,18,6,6,12.6666666666666,6,6,12.5714285714285,3
8,1,0,1,0,0,18,7,6,12.5166666666666,7,6,12.5166666666666,1
14,0,0,1,0,0,20,7,6,11.6166666666666,7,7,13,2
8,1,0,1,0,1,20,6,2,10,6,4,10.75,2
8,0,0,1,0,0,20,5,3,10.3333333333333,5,3,10.6666666666666,2
1,0,0,1,0,0,18,5,5,13.1428571428571,5,5,11.4,3
1,0,0,1,0,0,18,5,5,12.6,5,5,14,3
8,1,0,1,0,0,21,6,3,11,6,2,11,1
1,1,0,1,0,0,19,5,5,10.8,5,4,11.25,3
1,0,0,1,0,0,19,0,0,0,0,0,0,1
1,0,0,1,0,1,19,5,5,12.8,5,5,14.2,3
1,1,0,1,0,0,19,6,6,14.1666666666666,6,6,12.2,3
8,1,0,1,0,0,19,7,5,12.1,7,0,0,1
15,1,0,1,0,0,20,6,6,14.1666666666666,6,5,13.7777777777777,3
1,1,0,1,0,1,18,6,5,12.8,6,5,13.4,2
8,1,0,1,0,0,18,6,6,13,6,6,13.6666666666666,3
8,1,0,1,0,0,19,7,7,13.4671428571428,8,8,15.0111111111111,3
1,1,0,1,0,1,18,7,7,13.2375,8,7,13.7428571428571,1
8,1,0,1,0,0,18,6,6,12.3333333333333,6,6,13,3
1,1,0,1,0,0,19,5,5,12.4,5,5,14.6,3
8,1,0,1,0,0,19,7,5,14,7,0,0,1
14,0,0,1,0,0,20,9,9,11.6666666666666,7,7,11.7142857142857,3
1,0,1,0,0,1,19,6,5,12,6,4,12.5,1
8,1,0,1,0,0,20,5,4,12.2,5,4,11.5,3
1,0,1,1,0,1,18,6,6,14.8333333333333,6,6,14.8333333333333,3
1,0,0,1,0,1,20,7,5,13.188,8,7,12.8928571428571,2
9,0,0,1,0,0,18,7,7,17.125,8,8,17.5875,3
1,1,0,1,0,0,19,7,6,12.6666666666666,7,6,12.6666666666666,3
1,1,0,1,0,1,19,6,6,12.6666666666666,6,5,12,3
16,1,1,0,0,0,22,5,0,0,5,0,0,2
1,1,0,1,0,1,19,6,6,11.3333333333333,6,6,11.5,3
1,1,0,1,0,1,19,7,7,13.605,8,8,12.33125,3
8,1,0,1,0,1,19,6,5,12,6,5,10.8,3
1,1,0,1,0,0,19,5,0,0,5,0,0,1
8,1,0,1,0,0,20,6,5,11.2,6,3,11.6666666666666,1
1,0,0,1,0,0,18,5,5,13.375,5,5,14.1666666666666,3
1,0,0,1,0,1,20,7,6,13.8633333333333,8,7,14.1785714285714,3
1,1,0,1,0,0,18,0,0,0,0,0,0,2
1,0,0,1,0,0,19,5,5,12.4,5,5,13.4,3
8,1,0,1,0,0,18,6,3,12.3333333333333,6,5,10.8333333333333,2
1,1,0,1,0,0,18,6,6,13.3333333333333,6,5,11.8,3
14,1,0,1,0,0,21,6,3,12.6666666666666,6,3,10,1
1,0,0,1,0,0,19,6,6,12,6,4,11.5,1
1,0,0,1,0,1,18,5,5,10.6,5,5,11.8,3
8,1,0,1,0,1,18,6,6,12.25,6,6,11.8571428571428,3
1,1,0,1,0,0,20,6,4,11,6,6,11.8333333333333,3
12,0,0,1,0,1,24,6,5,11,6,5,12.6,3
1,0,0,1,0,0,19,6,6,13.1666666666666,6,6,13,1
1,1,0,1,0,1,18,7,7,12.8555555555555,8,7,12.7611111111111,3
1,1,0,1,0,0,18,7,7,14.91875,8,8,15.355,3
8,1,0,1,0,0,21,6,4,11.5,6,3,11,1
8,0,0,1,0,0,19,5,5,14.2,5,5,14.2,3
8,0,0,1,0,1,19,6,6,12.5,6,6,13,3
12,0,1,1,0,0,47,1,0,0,6,0,0,2
8,0,0,1,0,0,19,6,5,11.6666666666666,6,4,11,3
12,0,0,1,0,0,29,8,7,14.2571428571428,8,7,14.2571428571428,3
14,1,0,1,0,0,21,6,3,12,6,2,11.3333333333333,1
12,1,0,1,0,0,28,5,4,11.25,5,4,10.5,2
8,0,0,1,0,0,20,7,7,12.4571428571428,8,8,13.5625,3
8,1,0,1,0,0,19,7,6,11.6833333333333,7,6,11.6833333333333,3
13,0,0,1,0,0,26,6,3,11.6666666666666,6,5,12,3
8,1,1,0,0,0,20,6,4,11.75,6,6,13.1666666666666,1
1,1,0,1,0,1,18,5,3,11.6666666666666,5,4,13.5,2
12,0,0,1,0,0,27,6,5,13.2,6,5,12,3
1,1,0,1,0,0,20,7,4,11.95,7,4,11.95,1
1,1,0,1,0,0,18,6,5,12.4,6,5,10.4,1
4,0,0,1,0,0,33,7,6,14.35,8,6,14.5833333333333,1
14,1,0,1,0,0,35,21,21,12.6190476190476,19,19,12.7894736842105,3
15,0,0,1,0,1,26,6,6,12.6666666666666,6,6,13.1666666666666,2
12,0,1,0,0,0,27,6,5,12,6,0,0,1
9,1,0,0,0,0,19,6,6,12.1666666666666,6,0,0,1
8,0,0,1,0,0,20,6,0,0,6,0,0,1
9,1,1,0,0,0,20,5,3,10,5,3,10.5714285714285,1
14,0,1,0,0,0,21,10,8,11.5,6,4,10,2
8,1,0,1,0,1,18,7,6,13.05,7,6,13.05,3
12,1,0,1,0,0,24,6,2,11,6,0,0,1
8,1,0,1,0,0,20,6,6,11.5,6,6,12,3
1,0,0,1,0,1,21,6,6,12,6,6,12.5,3
1,0,0,1,0,0,23,6,2,10,5,1,10,2
12,1,0,1,0,0,24,5,0,0,5,0,0,1
16,0,0,1,0,0,21,6,0,0,6,0,0,1
1,1,0,1,0,0,18,8,7,12.2428571428571,8,7,12.2428571428571,3
12,1,0,1,0,0,27,5,0,0,5,0,0,1
9,1,0,1,0,0,18,8,8,12.93375,8,8,12.93375,3
4,0,0,1,0,0,35,5,0,0,5,0,0,1
1,0,0,1,0,0,18,7,7,12.5714285714285,7,7,14.4285714285714,3
12,0,0,1,0,0,35,3,3,11.8166666666666,3,3,11.3333333333333,2
1,1,0,1,0,0,19,5,4,13.75,5,4,14.3333333333333,3
1,1,0,1,0,0,20,6,6,11.1666666666666,6,6,11.3333333333333,3
1,1,0,1,0,0,18,8,7,12.3242857142857,8,7,12.3242857142857,3
15,0,1,1,0,0,21,6,6,12.1666666666666,6,6,11.7142857142857,3
8,0,0,1,0,1,18,6,5,11.1428571428571,6,4,11.25,3
1,1,0,1,0,0,18,6,4,11,6,4,10.75,3
1,1,0,1,0,0,18,8,7,12.9142857142857,8,7,12.9142857142857,3
1,1,0,1,0,1,18,6,6,13.8333333333333,6,6,14.1666666666666,3
1,1,0,1,0,0,19,6,6,13.8571428571428,6,5,13.4,3
12,0,0,1,0,1,36,6,6,13.7142857142857,6,5,12.8,1
1,1,0,1,0,1,18,8,7,12.6428571428571,8,7,12.6428571428571,3
1,0,0,1,0,1,18,7,6,12.9166666666666,7,6,12.9166666666666,3
14,1,0,1,0,1,20,6,6,15.625,6,6,15.8571428571428,3
12,0,0,1,0,1,26,5,0,0,5,0,0,1
14,0,0,1,0,0,21,6,6,11.7142857142857,6,6,12,3
12,0,0,1,0,0,25,7,6,12.125,8,8,13.3125,2
9,1,0,1,0,1,19,5,5,11.6,5,5,11.6,3
12,1,0,1,0,0,24,6,1,10,6,0,0,1
12,0,0,1,0,1,27,6,1,10,6,0,0,1
8,0,0,1,0,0,21,5,0,0,5,2,13.5,1
1,0,0,1,0,1,18,5,4,13,5,3,12.3333333333333,3
1,0,0,1,0,1,19,6,6,13.3333333333333,6,6,14.5,3
1,1,0,1,0,0,18,6,4,11.25,6,2,12.5,1
16,0,0,1,0,1,19,7,5,13.85,8,7,12.1928571428571,3
9,1,0,1,0,1,19,7,6,13.7416666666666,8,7,14.9125,3
4,0,0,1,0,0,33,6,6,15.3333333333333,5,5,15.8,3
4,0,0,1,0,0,45,5,5,11,5,5,13.8,3
1,0,0,1,0,1,20,6,6,12,6,6,12.8571428571428,3
12,1,0,1,0,0,28,5,0,0,5,0,0,1
14,1,0,1,0,1,19,8,7,11.5714285714285,8,7,11.5714285714285,3
1,1,0,1,0,0,18,6,6,12.8571428571428,6,3,12.6666666666666,3
12,0,0,1,0,0,38,6,0,0,6,0,0,1
1,0,0,1,0,0,19,5,5,13,5,5,13.2,3
1,0,0,1,0,1,21,6,5,11,6,5,12,3
1,0,0,1,0,0,21,5,3,12,5,1,15,1
1,0,0,1,0,1,22,6,5,12.6,6,6,13,3
1,0,0,1,0,1,18,6,5,13.4,6,6,13.1666666666666,3
8,0,0,1,0,1,18,6,6,11.3333333333333,6,6,11.5714285714285,3
1,1,0,0,0,0,25,5,4,13.5,5,4,14.25,1
12,0,1,0,0,0,24,6,3,11.75,6,3,10.3333333333333,1
1,1,0,1,0,0,19,7,6,12.4714285714285,7,7,11.4625,2
7,1,0,1,0,0,24,17,11,12.9090909090909,13,9,13.5555555555555,2
1,1,0,1,0,1,20,5,5,11.6,5,5,13.6,3
12,0,0,0,0,0,25,5,0,0,5,0,0,1
1,0,0,1,0,1,20,10,9,12.9,10,10,12.3636363636363,3
4,0,0,1,0,0,23,8,8,13.22,8,8,13.22,3
8,1,0,1,0,1,19,8,7,13.1514285714285,8,7,13.1514285714285,3
15,0,1,0,0,0,29,6,3,12.75,6,3,11.3333333333333,1
1,1,0,1,0,0,21,6,6,11.3333333333333,6,4,12.25,3
1,1,0,1,0,1,18,6,6,13.25,6,5,14.1428571428571,3
1,1,0,1,0,0,19,6,5,12.4,6,5,12.4,2
1,1,0,1,0,1,18,6,6,15,6,6,12.8333333333333,1
1,0,0,1,0,0,19,5,5,14.4,5,5,13,3
1,1,0,1,0,0,18,6,1,11,6,0,0,2
8,0,0,1,0,0,18,5,5,12.4,5,5,10.8,3
12,1,1,0,0,1,37,7,1,16,7,0,0,1
8,0,0,1,0,0,29,5,5,13.5714285714285,5,5,12.3333333333333,3
8,0,0,1,0,0,18,6,6,11.8333333333333,6,6,12.5,2
1,1,0,1,0,1,19,6,5,11.6666666666666,6,5,12.6666666666666,3
14,1,1,0,0,0,22,10,6,11.8333333333333,7,2,13,1
1,0,0,1,0,1,20,6,6,11.1666666666666,6,5,10.6,3
12,0,0,1,0,0,34,6,0,0,6,0,0,1
14,0,1,0,0,0,30,12,8,11.75,12,6,12.1666666666666,1
1,0,0,1,0,0,18,6,6,14,6,6,14,3
1,0,0,1,0,0,18,6,6,12.8333333333333,6,6,12,3
1,1,0,1,0,0,18,6,4,12.25,6,3,11.6666666666666,3
8,1,0,1,0,0,18,8,7,14.8285714285714,8,7,14.8285714285714,3
1,1,0,1,0,1,19,6,5,11.4,6,5,12.8,3
1,1,0,1,0,1,19,6,6,13,6,6,12.5,3
1,0,0,1,0,1,18,8,7,13.6714285714285,8,7,13.6714285714285,3
15,0,0,1,0,1,21,6,6,12.6666666666666,6,5,12.8,3
1,1,0,0,0,0,20,5,2,10,5,1,13,1
8,1,0,1,0,0,20,5,5,13.5,5,5,12.3333333333333,3
1,0,0,1,0,0,19,7,7,12.67,8,8,13.55,3
1,0,0,1,0,0,20,6,6,14.5,6,6,15.4285714285714,3
8,1,0,1,0,0,18,7,7,13.6857142857142,8,8,15.3875,3
13,0,0,1,0,0,20,6,5,11,6,3,10.6666666666666,1
4,0,1,0,0,0,29,9,7,11.5555555555555,7,5,13.2,1
1,0,0,1,0,1,18,7,7,13.7971428571428,8,8,13.775,2
1,1,0,1,0,1,20,7,7,14.00375,8,7,13.8128571428571,3
7,1,0,1,0,1,22,5,4,12,5,4,11.4,3
1,1,0,1,0,1,47,6,5,14.1666666666666,6,6,14.1666666666666,3
16,0,0,1,0,0,31,5,5,14,5,5,13.8,3
1,0,0,1,0,1,21,6,5,13.8,6,6,12.8333333333333,3
1,0,0,1,0,0,21,6,5,12.8,6,6,11.8571428571428,3
12,0,0,1,0,0,24,6,6,12.1666666666666,6,6,13.8333333333333,3
8,0,0,1,0,0,18,6,6,12.5,6,6,12.3333333333333,2
12,0,0,1,0,0,32,6,4,12,6,4,11.5,3
9,1,0,1,0,1,19,6,6,10.8333333333333,6,6,11.5,3
12,1,0,1,0,0,24,8,8,13.385,8,8,13.385,3
8,1,0,1,0,0,19,6,6,15.6666666666666,6,6,14.5,3
15,0,1,1,0,1,19,6,6,14.3333333333333,6,6,13.8333333333333,3
15,0,0,1,0,0,24,6,6,11.4285714285714,6,5,13,2
8,1,0,1,0,1,18,6,6,11.6666666666666,6,6,11.6666666666666,3
1,1,0,1,0,1,19,6,5,12,6,2,11.3333333333333,1
1,0,0,1,0,1,19,8,7,14.7257142857142,8,7,14.7257142857142,3
8,1,0,1,0,1,18,6,6,14.1666666666666,6,6,13.6666666666666,3
1,1,0,1,0,0,18,6,6,11.5714285714285,6,6,12.3333333333333,3
8,1,0,1,0,0,20,7,7,12.5,8,8,13.1375,3
1,0,0,1,0,0,18,8,8,12.86,8,8,12.86,3
8,1,0,1,0,0,18,6,6,12.25,6,6,13.7142857142857,3
1,1,0,1,0,1,21,5,4,12,5,5,12.2,3
1,0,0,1,0,1,18,7,7,15.1166666666666,8,8,16.1688888888888,3
16,0,1,0,0,0,18,5,2,12.5,5,4,10.25,1
8,1,0,1,0,0,19,6,0,0,6,0,0,1
1,1,0,1,0,0,19,6,4,11,6,4,11,2
8,1,0,1,0,0,18,6,6,11.875,6,4,14.6,3
12,1,0,1,0,0,34,5,1,11,5,0,0,1
1,0,0,1,0,0,19,5,5,15.2,5,5,13.2,3
15,1,1,0,0,0,19,6,5,11.6,6,2,11,1
16,0,1,1,0,0,26,6,6,14.8333333333333,6,6,15.1428571428571,3
8,1,0,1,0,0,21,6,3,11.3333333333333,6,3,11.3333333333333,1
8,0,0,1,0,1,18,5,5,11.2,5,5,11.8,3
8,1,0,1,0,1,20,6,5,13.4,6,5,13.6666666666666,3
16,0,0,1,0,0,25,5,2,10.5,5,0,0,1
1,0,0,1,0,0,18,5,5,16.2,5,5,16.4,3
1,1,0,1,0,1,18,7,7,14.5428571428571,8,8,14.8818181818181,3
1,0,0,1,0,0,19,7,7,13.6942857142857,8,8,14.3555555555555,3
1,0,0,1,0,1,18,6,6,11.2857142857142,6,6,11.8571428571428,3
8,0,0,1,0,0,20,7,6,11.7571428571428,8,6,13.0833333333333,2
4,0,1,0,0,0,26,3,0,0,6,0,0,1
13,1,0,1,0,1,19,8,7,13.0585714285714,8,7,13.0585714285714,3
1,0,0,1,0,0,19,7,7,14.3,8,8,14.0555555555555,3
14,0,0,1,0,0,19,10,5,11.8,10,8,12,3
3,1,0,1,0,0,19,5,3,10.3333333333333,5,3,13,2
1,1,0,1,0,0,18,6,6,10.5714285714285,6,3,11.6666666666666,3
14,1,0,1,0,0,19,7,6,13.3333333333333,7,6,13.3333333333333,3
1,0,1,1,0,0,18,6,6,11.8571428571428,6,5,11,3
1,1,0,1,0,0,18,6,5,12.6,6,5,11.4,2
1,1,0,1,0,0,18,5,5,14,5,5,11.6,2
1,1,0,1,0,0,18,7,5,12,7,6,12.6666666666666,2
15,0,1,1,0,0,26,5,0,0,5,0,0,1
1,1,0,1,0,0,20,6,6,12,6,6,13,3
1,0,0,1,0,0,19,6,6,12.6666666666666,6,6,11.6666666666666,3
1,1,0,1,0,1,18,6,6,12.1666666666666,6,6,13.6666666666666,3
15,0,0,1,0,0,19,6,6,13.3333333333333,6,6,14.6666666666666,3
4,0,1,1,0,0,40,7,7,15,7,7,14.5714285714285,3
1,1,0,1,0,1,18,8,8,13.39125,8,8,13.39125,3
8,0,0,1,0,0,19,6,5,12.1666666666666,6,6,12.4285714285714,3
8,0,0,1,0,0,18,5,4,11.25,5,4,12.5,3
1,1,0,1,0,0,19,5,4,12,5,3,12,2
1,1,0,1,0,0,18,0,0,0,0,0,0,1
12,1,0,1,0,0,33,6,6,12.8333333333333,6,6,12.8571428571428,3
12,0,0,1,0,0,35,6,6,14,6,6,13.1,3
13,1,0,1,0,0,26,5,4,13,5,2,12,2
1,1,0,1,0,0,18,6,6,13.5,6,6,12.5,3
14,0,0,1,0,0,36,16,13,10.6923076923076,13,9,12.3076923076923,2
12,0,0,1,0,0,39,5,5,11,5,5,11.6666666666666,3
12,0,0,1,0,0,44,6,6,13,6,6,13.8333333333333,3
1,0,0,1,0,0,20,6,5,12,6,4,11.25,2
1,1,0,1,0,0,24,6,4,12.6,6,4,11.5,1
14,0,0,1,0,1,20,6,6,13.6666666666666,6,6,13.3333333333333,3
1,1,0,0,0,0,19,0,0,0,0,0,0,1
1,0,1,1,0,1,18,7,6,14.2,7,6,14.2,3
1,0,1,0,0,0,22,6,5,11,6,0,0,1
8,1,0,1,0,0,18,6,6,15,6,6,16.4285714285714,3
12,0,0,1,0,0,24,7,6,12.5857142857142,8,7,13.4428571428571,3
12,0,0,1,0,0,33,5,0,0,5,0,0,1
12,0,1,1,0,1,30,6,0,0,6,0,0,2
12,0,0,1,0,0,26,6,0,0,6,0,0,1
8,1,0,1,0,0,18,6,6,11.6666666666666,6,6,11.8333333333333,3
1,0,1,1,0,0,19,6,3,12.6666666666666,6,2,10,1
8,1,0,1,0,0,20,5,3,10.3333333333333,5,4,11,2
17,1,0,1,0,1,22,11,8,13.5,9,7,13.7142857142857,3
1,1,0,1,0,0,19,7,5,13.98,7,5,13.98,2
1,1,0,1,0,1,21,6,6,16.1538461538461,6,6,15.75,3
1,1,0,1,0,1,21,7,6,14.0333333333333,7,6,14.0333333333333,3
8,0,0,1,0,0,19,5,1,11,5,5,11.2,2
1,1,0,1,0,1,19,7,7,13.8571428571428,7,6,13.6666666666666,3
1,1,0,1,0,0,18,8,7,13.4142857142857,8,7,13.4142857142857,1
14,0,0,1,0,0,50,11,11,13.5454545454545,7,7,13.5714285714285,3
12,0,0,1,0,1,31,5,4,11.25,5,4,10.8333333333333,2
8,0,0,1,0,1,19,6,6,13.8333333333333,6,6,14.4285714285714,3
12,0,0,1,0,0,35,5,5,12,5,5,12.8571428571428,3
12,0,0,1,0,0,31,6,0,0,6,0,0,1
16,0,1,1,0,0,42,11,10,11.9,11,10,12.8,2
9,1,0,0,0,0,34,5,0,0,5,0,0,1
1,1,0,1,0,1,18,7,7,15.1357142857142,8,8,15.2874999999999,3
8,1,0,0,0,1,18,7,7,12.2857142857142,7,6,13.3333333333333,2
15,1,0,1,0,0,21,6,5,12.6666666666666,6,2,13.5,2
12,0,0,1,0,1,26,7,5,12.74,8,6,10.9785714285714,1
14,0,0,1,0,0,20,7,6,13.25,8,8,13.75,2
1,0,0,1,0,0,19,6,3,10.3333333333333,6,3,10.3333333333333,2
1,0,0,1,0,1,19,6,6,13.4285714285714,6,6,13.1666666666666,3
17,0,0,1,0,0,20,11,9,12.5555555555555,9,8,11.1111111111111,3
1,0,0,1,0,0,19,6,6,11.5,6,6,11.1666666666666,3
1,0,0,1,0,0,18,6,6,13.6666666666666,6,6,12.3333333333333,3
12,0,0,1,0,0,28,14,11,11.2727272727272,11,10,12,3
8,1,0,1,0,0,22,6,5,13.1666666666666,6,5,12.4,2
15,0,0,1,0,1,21,6,6,14.6666666666666,6,6,14.1666666666666,3
15,1,0,1,0,0,21,6,4,12.75,6,1,11,2
12,0,0,1,0,0,26,7,5,11.2,8,5,12.14,2
1,1,1,0,0,0,18,6,5,13,6,5,11.4,1
8,0,0,0,0,0,20,5,2,10.5,5,2,12.3333333333333,1
8,0,0,1,0,0,18,6,6,14.8571428571428,6,6,14,3
1,1,0,1,0,1,19,8,7,12.86,8,7,12.86,3
16,1,0,1,0,0,20,11,11,11.7272727272727,11,11,12,3
15,1,0,1,0,1,22,6,6,13.1428571428571,6,3,12,3
8,1,1,1,0,0,18,6,5,11.8,6,4,13.7142857142857,1
8,1,0,1,0,0,19,5,3,10.6666666666666,5,0,0,1
8,0,0,1,0,1,18,6,5,11.6,6,4,11.2,2
8,1,0,1,0,0,20,6,3,10.3333333333333,6,3,10.3333333333333,2
1,1,0,1,0,0,19,6,4,12.25,6,3,11,2
1,0,0,1,0,0,19,6,6,12,6,4,12.75,2
